video_id,video_duration_seconds
XxWfEWCJOeI,638.0
n3L_fBXbAhE,1204.0
QjYVnUZBkew,1109.0
WIthbmHyAE0,128.0
0-jSfAducAU,1182.0
Y40mzgvFX0M,645.0
DRoqXvF6zlw,1158.0
0DlzASzFZBM,1366.0
JizqPccAVAA,1286.0
CrRmd83hxkc,1387.0
HonCOFlTzbs,1036.0
lz4R4FHFr90,3148.0
t8FZ-KqyXwQ,2427.0
BLKyxxzZKds,852.0
zRBujm_VREo,35.0
2Q3BvMuyxqE,862.0
MoGqg6mVy2k,1662.0
GRJuPrDvvjU,264.0
m8wimHEw6Fk,933.0
Sup7BQAzVVI,1521.0
TaQn51DJ_3k,668.0
XCQYwwOoxW0,1236.0
d5CcTYIJzuw,30.0
ufY9LTNfqBc,171.0
Ndf4H0Hi0Go,36.0
YBRmw0BNS-Y,365.0
6vIvVo_XRA0,526.0
dwtDCVmKznQ,767.0
o8F8KwhEW9w,868.0
kEraFInGJps,530.0
vWThmIB39gU,1188.0
YW0UqiKcJ_Y,1251.0
FFSbF-qojTc,955.0
bu-z_mAiI58,766.0
00zV2SWcju8,1512.0
UE6oJ2Np770,375.0
wXt38ClFNVA,495.0
vIVQl19H9tc,1259.0
f8rek26-8mE,580.0
iu7ICyOpxX0,650.0
8ZmJSmiT1gM,985.0
KZQvHDmPHUE,201.0
e_zAAZ2ygac,1953.0
J6hc0HDkp90,112.0
Cx_Dtwn4ayw,206.0
mPb5uxTBVGo,2392.0
lAfcr-SmRX4,146.0
sWMYfVayONw,131.0
x8YadFSjgiA,796.0
4VqnXMQfuFA,1645.0
k0P1Sy8UVuU,252.0
ZQ0vE4kNZ08,972.0
ID9XG8Z4sRs,961.0
8eYrpma0378,1464.0
KcdW7ZU05Pc,310.0
0yNdB0MuRFg,978.0
FtvzKa874GA,55.0
ujurRQKi5Dw,662.0
gUHrI853lEY,1270.0
5coVhoiWB20,263.0
dPr57u9CNas,243.0
R0vkbMxN2aE,925.0
3q2Xo50HL-8,113.0
LyALrfCIkDI,1231.0
w6xzsApgPLo,535.0
jNhbJ895Wk0,683.0
TI1TWEgcrK8,623.0
1eRKUUHSaUo,44.0
CWxU0Kd0PYU,1035.0
